date,value
Wed Jan 01 2014 00:00:00 GMT+0100 (CET),0.505003142170608
Sat Jan 11 2014 00:00:00 GMT+0100 (CET),0.5459181617479771
Tue Jan 21 2014 00:00:00 GMT+0100 (CET),0.14592946274206042
Fri Jan 31 2014 00:00:00 GMT+0100 (CET),0.7082753519061953
Mon Feb 10 2014 00:00:00 GMT+0100 (CET),0.010393543168902397
Thu Feb 20 2014 00:00:00 GMT+0100 (CET),0.6583312929142267
Sun Mar 02 2014 00:00:00 GMT+0100 (CET),0.24273463618010283
Wed Mar 12 2014 00:00:00 GMT+0100 (CET),0.15577656053937972
Sat Mar 22 2014 00:00:00 GMT+0100 (CET),0.8833602059166878
Tue Apr 01 2014 00:00:00 GMT+0200 (CEST),0.26687808078713715
Fri Apr 11 2014 00:00:00 GMT+0200 (CEST),0.649613720132038
Mon Apr 21 2014 00:00:00 GMT+0200 (CEST),0.4543698029592633
Thu May 01 2014 00:00:00 GMT+0200 (CEST),0.7719218074344099
Sun May 11 2014 00:00:00 GMT+0200 (CEST),0.5177543167956173
Wed May 21 2014 00:00:00 GMT+0200 (CEST),0.9994703007396311
Sat May 31 2014 00:00:00 GMT+0200 (CEST),0.7990491802338511
Tue Jun 10 2014 00:00:00 GMT+0200 (CEST),0.2791274816263467
Fri Jun 20 2014 00:00:00 GMT+0200 (CEST),0.00961384573020041
Mon Jun 30 2014 00:00:00 GMT+0200 (CEST),0.17923940671607852
Thu Jul 10 2014 00:00:00 GMT+0200 (CEST),0.5797557467594743
Sun Jul 20 2014 00:00:00 GMT+0200 (CEST),0.41668077907525003
Wed Jul 30 2014 00:00:00 GMT+0200 (CEST),0.26668014749884605
Sat Aug 09 2014 00:00:00 GMT+0200 (CEST),0.9645155349280685
Tue Aug 19 2014 00:00:00 GMT+0200 (CEST),0.9435918028466403
Fri Aug 29 2014 00:00:00 GMT+0200 (CEST),0.4980645985342562
Mon Sep 08 2014 00:00:00 GMT+0200 (CEST),0.9871973677072674
Thu Sep 18 2014 00:00:00 GMT+0200 (CEST),0.8283164533786476
Sun Sep 28 2014 00:00:00 GMT+0200 (CEST),0.6416109406854957
Wed Oct 08 2014 00:00:00 GMT+0200 (CEST),0.6466128702741116
Sat Oct 18 2014 00:00:00 GMT+0200 (CEST),0.7002710588276386
Tue Oct 28 2014 00:00:00 GMT+0100 (CET),0.9069056580774486
Fri Nov 07 2014 00:00:00 GMT+0100 (CET),0.6439003541599959
Mon Nov 17 2014 00:00:00 GMT+0100 (CET),0.7253473403397948
Thu Nov 27 2014 00:00:00 GMT+0100 (CET),0.22283505811356008
Sun Dec 07 2014 00:00:00 GMT+0100 (CET),0.6578892532270402
Wed Dec 17 2014 00:00:00 GMT+0100 (CET),0.14639883721247315
Sat Dec 27 2014 00:00:00 GMT+0100 (CET),0.31333006569184363
